Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1349442726.2518256,10,1349442726,254147053,auk,-0.012974178824262926,0.0020110010027047445,0.3526970626449051,0.9356454502430176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006021385919380436,0.0,0.006544984694978735,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.15696,-0.18639,9.85905,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.271405,11,1349442726,274144888,auk,-0.012923665314640407,0.0021211791156386687,0.35286090771198114,0.9355841273144129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015707963267948964,-0.0007853981633974482,0.0049741883681838385,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.20600999999999997,9.86886,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.291279,12,1349442726,294144869,auk,-0.0128108776901035,0.002072558221815587,0.35269670628713584,0.9356477004136934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010471975511965976,0.017016960206944712,-0.002617993877991494,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.08829,-0.20600999999999997,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.3113449,13,1349442726,314144850,auk,-0.012779763247146261,0.0019931335943738143,0.3525326775789977,0.9357101133945301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010210176124166827,0.010471975511965976,0.00890117918517108,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.11771999999999999,-0.21581999999999998,9.89829,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.3317087,14,1349442726,334144831,auk,-0.0128101534503367,0.002077029935372561,0.3523700821460378,0.9357707577839891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005235987755982988,0.00445058959258554,-0.005497787143782138,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.21581999999999998,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.3534017,15,1349442726,354145050,auk,-0.01275884791722571,0.0021916728190005622,0.35220728368229437,0.9358324837764606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003141592653589793,-0.00445058959258554,-0.0036651914291880917,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.17658,9.829619999999998,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.3714309,16,1349442726,374142885,auk,-0.012676987088286107,0.0022235149786498194,0.3521254228533548,0.9358643259361099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361356816555577,-0.009162978572970229,-0.009162978572970229,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.11771999999999999,-0.20600999999999997,9.85905,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.3915918,17,1349442726,394142866,auk,-0.012758273701391173,0.002195013002428715,0.3519622712438046,0.9359246593561803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003141592653589793,0.001308996938995747,0.011257373675363424,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.22563,9.88848,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.4115746,18,1349442726,414142847,auk,-0.012870258727448625,0.002248224063750647,0.3517998239530505,0.9359840734731817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00863937979737193,-0.00471238898038469,0.0005235987755982988,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.22563,9.9081,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.4317715,19,1349442726,434142828,auk,-0.012726832625655334,0.002117776301137478,0.35163483743536716,0.9360483341455503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036651914291880917,0.0,0.0036651914291880917,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.09809999999999999,-0.19619999999999999,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
